Tester,Audience,Run,Human_Explanation,AI_Explanation,Accuracy,Accuracy_Comment,Completeness,Completeness_Comment,Business_Friendly,Business_Friendliness_Comment,Other_Comment
Allan,336219,2,,The analysis identifies customers who have been active software users in the past 40 days excluding those with recent account activity such as opening tickets or events in the past 7-10 days. It finds the intersection of active software users and customers with no recent account activity.,Success,Surprisingly this is pretty good,Success,Pretty good,Not sure,It's a little on the technical side but if you read it twice you can understand it.,
Amanda,344615,1,People who have viewed more than 3 audiences in the last 14 days,The query identifies customers who have viewed 3 or more pdfs news articles or blog posts in the past 14 days. It joins customer data with clickstream data filters to events in the past 14 days groups by customer counts relevant events per customer and keeps only those customers with 3 or more relevant events.,Success,,Success,,Fail,Technically the start of this description was business friendly but then it went on to describe what the SQL was doing,
Amanda,337815,1,People who have purchased wiper blades exactly 6 months ago,The summary identifies customers who purchased Wiper Blades in the past 6 months by joining the customers table with the orders table on customer id and the orders table with the products table on product id. It filters orders in the past 6 months and for the Wiper Blades product then groups by customer id to find the matching customers.,Fail,this audience contains an AIQ UDF for specifying date start consequently this audience is about *exactly* 6 months ago,Success,It technically has all of the info,Fail,Describes what the SQL is doing,
Amanda,326922,1,Known visitors who have spent at least 60 minutes on the site in the last 7 days and have looked at makeup lipstick or eyeliner pages,The query selects customers who have recently viewed makeup or lipstick products online and have sufficient activity excluding those with incomplete contact information to identify engaged beauty shoppers for marketing.,Success,,Not sure,It was lacking in specificity (re: 7 days),Success,,
Amanda,305315,1,Folks who have a valid email address a current checking account with a high value a mortgage and excludes those with low LTV scores,This analyzes customers to identify those with active email who purchased high value checking products opted into email marketing and have low churn risk scores.,Not sure,not sure why it is calling the model score a churn score - turns out the business name and the column name do not match,Fail,complete except for misidentifying the model score as being a churn score doesn't message mortgage,Success,,
Amanda,272424,1,Customers without missing info who have purchased product 1 or product 2 excluding those who have made an online order,Customers who have placed online orders for specific products excluding customers associated with companies that have ever placed any online orders.,Not sure,doesn't really identify that these are customers that have no missing info - unsure about the last description of the supression,Fail,doesn't really identify that these are customers that have no missing info - unsure about the last description of the supression,Success,,
Amanda,406092,1,Women with dry skin who spend on average $100 who visited the website in the L30d but are not opted out of emails and have not made a purchase in the last 10 days,This transforms audience members who have average order values over $100 are female with dry skin and visited the site in the past 30 days while excluding those who opted into emails or placed an order in the past 10 days unless they meet additional criteria regarding their location company and contact info.,Fail,Made up some information about the exclusions,Success,technically got all of the necessary info,Success,,
Amanda,384009,1,People who have a low lead score,Customers are joined with model scores. For customers whose model score is not above 1.5 their aiq ID is returned grouping by aiq ID. Of those exclude groups where over 5 model scores are above 1.2.,Success,,Success,,Not sure,this is not a business friendly response in part due to the SQL being less obvious than the business names of attributes,
Amanda,312754,1,Multi-entity audience that selects for contacts at the b2b level with an active account and revenue > $100k located on the west coast with a valid DUNS number excluding accounts with open opportunities or have conpleted a form,This query identifies individuals who work at large companies in Western US states have opted into email and have not recently opened a sales opportunity or completed an online purchase. It summarizes the audience geography firmographics and engagement attributes used to target relevant individuals for a potential marketing campaign.,Not sure,makes up potential marketing campaign calls the form an online purchase and doesn't reference the DUNs - actually might be firmographics,Not sure,kind of unclear that DUNs is firmographics,Success,,
Amanda,344615,2,People who have viewed more than 3 audiences in the last 14 days,This summary discusses customers their ID events like PDF views news article clicks or blog clicks aggregating event counts filtering for customers with sufficiently high counts of those events and retrieving customer IDs.,Success,,Fail,It's insufficiently precise. It technically says what is happeneing but it is missing specific details (e.g. greater than 3 events),Not sure,It is a little underspecified and a little too much like just describing SQL,
Amanda,337815,2,People who have purchased wiper blades exactly 6 months ago,This SQL query selects customer IDs from an AIQ customers table. It joins orders and products tables to filter for customers who ordered wiper blades in the past 6 months. It groups by customer ID to eliminate duplicates.,Fail,,Success,,Fail,Just describes SQL,
Amanda,326922,2,Known visitors who have spent at least 60 minutes on the site in the last 7 days and have looked at makeup lipstick or eyeliner pages,The audience selects customers who have recently browsed makeup products on the website and have provided contact information in order to target them with special offers.,Not sure,"Might count as hallucinating to add: ""in order to target them with special offers.""",Not sure,It was lacking in specificity (re: 7 days),Success,,
Amanda,305315,2,Folks who have a valid email address a current checking account with a high value a mortgage and excludes those with low LTV scores,This summarizes the process of identifying a subset of customers who have checking accounts over $100k have opted into email have a mortgage and are not high churn risks based on a model score.,Success,the underlying model column is called churn,Success,,Success,,
Amanda,272424,2,Customers without missing info who have purchased product 1 or product 2 excluding those who have made an online order,This discusses grouping customers who have basic profile information populated in the users table purchased specific products but have not placed online orders via their associated company. It identifies customers with email addresses containing .com with non-empty first/last names state/province country and phone number. It intersects this with customers who purchased products 1 and 2. It excludes customers associated to companies where at least one online order has been placed.,Not sure,not sure where it is getting the `customers associated with companies`,Success,,Success,,
Amanda,406092,2,Women with dry skin who spend on average $100 who visited the website in the L30d but are not opted out of emails and have not made a purchase in the last 10 days,This finds audience members who have placed high value orders recently visited the site in the past month and consented to communication except those who only recently placed an order or match an audience targeting rule in order to identify a relevant audience for a promotional campaign.,Fail,"""in order to identify a relevant audience for a promotional campaign"" made up",Fail,missing the source criteria,Success,,
Amanda,384009,2,People who have a low lead score,Customers are filtered and grouped based on model scores. Customers with scores above 1.5 are excluded. Groups with more than 5 scores above 1.2 are excluded.,Success,,Success,,Success,technically business friendly just not as obvious,
Amanda,312754,2,Multi-entity audience that selects for contacts at the b2b level with an active account and revenue > $100k located on the west coast with a valid DUNS number excluding accounts with open opportunities or have conpleted a form,This analysis looks at customer data to identify a targeted segment based on criteria such as user opt-ins company size location and recent activity. The goal is to find user ids matching complex logic across multiple data sources without technical jargon.,Fail,under-specified,Fail,,Success,,
Kevin,293987,1,Customers who started their trial within the last 10 days,This summary discusses customer data being filtered to identify recently registered users over the past 10 days in New York time zone. It examines aiq_customers_base and users tables joining on aiq_id grouping by aiq_id extracting aiq_id values where registration_date falls between a start timestamp and end timestamp calculated using aiq_day_start() and interval arithmetic.,Not sure,A lot of table names,,,Fail,,
Kevin,322963,1,,This summarizes customer data to identify homeowners based on website clickstream data over the past 30 days.,,,,,Success,,
Kevin,344051,1,Active individual HSA holder that started a plan on 1/1/23 or after,This analysis identifies unique customers who have engaged in recent events and whose first name matches a pattern. It finds the intersection between customers with recent activity and those matching the name pattern. The goal is to understand the subset of customers who are both recently active and have a certain name characteristic.,Fail,Does not mention HSA,Fail,,Fail,,
Kevin,406091,1,Females with dry skin that have an average spend of greater than $100,This SQL query identifies customers who spend over $100 on average and match a demographic profile of females with dry skin. It does this by joining customers orders and products to calculate average spend then intersecting the results with customers joined to demographics and filtering on last name gender and a condition evaluating to true when last name is 'dry skin' and gender is 'female'.,Success,,Success,,Fail,,
Kevin,379275,1,,The query retrieves audience IDs based on their engagement with vehicle and life content propensity to purchase scores started forms and email opt-in status while excluding audiences who have completed forms or opened messages.,,,,,Success,,
Kevin,293489,1,,The query identifies users who signed up for a mobile plan accessed both mobile and home content but are not designated as home users. It intersects mobile sign-ups from the user table with mobile and home content accesses from clickstream. It then excludes home users from the user table. The final result is users who are mobile-only based on signup and behavior.,,,,,Success,,
Kevin,272424,1,,This examines customer data to determine which customers have made online orders for specific products while excluding any customers associated with companies that have made online orders. It looks at customer contact information names product details and order details to identify the relevant individual customers.,,,,,Success,,
Kevin,334087,1,,This summarizes customer attributes and behaviors to identify potential subscription customers in New York. It analyzes customer events activity demographics and attributes to find those who have shown interest through actions like signing up for a trial adding to a watchlist increased site activity listening to songs and subscribing. It excludes students teachers churned customers and those with inaccurate profile data. The summary shows customers likely to convert to paid subscriptions based on their engagement.,,,,,Success,,
Kevin,293987,2,Customers who started their trial within the last 10 days,The query selects aiq customer ids from an aiq customers table. It left joins to a users table on aiq id and filters users whose registration date is between 10 days ago and yesterday in New York time. It groups the results by aiq customer id.,Success,,Success,,Success,,
Kevin,322963,2,,This summarizes customer data to identify homeowners based on website activity in the past 30 days. It selects customer IDs from a customer table left joins clickstream data filters for events in the past 30 days groups by customer ID checks if the sum of event actions contains 'Homeowners' and returns customer IDs where that is true.,Success,,Not sure,Repeats the same thing twice. The second time in a lot more details.,Not sure,Not exaclty sure what left join means.,
Kevin,344051,2,Active individual HSA holder that started a plan on 1/1/23 or after,This query identifies customers who have events after a specific date and whose first name contains 'individual' then finds the intersection with those customers to return a set of AIQ IDs.,Fail,,Fail,,Fail,,
Kevin,406091,2,Females with dry skin that have an average spend of greater than $100,This query identifies customers who spend over $100 on average and match a demographic profile of female with dry skin. It does this by joining the customer table to orders and products to calculate average spend intersecting that with the customer and demographics tables filtered for the demographic criteria. The result is a list of matching customer ids.,Success,,Success,,Not sure,Not sure if I need to know how tables are joined,
Kevin,379275,2,,The summary describes an audience segmentation query that identifies potential customers based on their engagement with vehicle and life insurance content predicted purchase propensity scores started forms excludes those who completed forms or opened emails and opted out of emails.,,,,,Success,,
Kevin,293489,2,,The summary discusses customers their engagement with mobile and home products and categorizes them into groups based on whether they are free or paid users of these products. Specifically it identifies customers who have engaged with mobile but not home products and categorizes them by free or paid status then excludes any customers who have engaged with the home product regardless of free or paid status. The customers are categorized by analyzing their registration status event actions and handling variations in capitalization.,,,,,Fail,Extremely long description,
Kevin,272424,2,,The audience is interested in analyzing customers who have provided contact information ordered specific products online but have never placed an online order through their company account. The analysis identifies these customers by matching their personal account details across customer user order and product data excluding any customers with online orders traced to a linked company account. The matched customers are those with emails names location phone numbers who ordered products 1 and 2 online using their personal account but have no record of an online order through a company account associated with their customer ID.,,,,,Fail,,
Kevin,334087,2,,This summarizes customers who have engaged recently through events activity location and interests excluding those who have been inactive for 6 months or are students and teachers or previously churned customers.,,,,,Success,,
Harsh,305290,1,People who have booked a meeting in the past 7 days,The query retrieves aiq_id values from the aiq_customers_base__latest table. It joins to the events__latest table to filter for records where the event_name is 'meeting booked' and the date is within the past 7 days. The results are grouped by aiq_id.,Success,,Success,,Fail,,GlobalIQ
Harsh,369448,1,People in NY who have spent more than $1000 within the last year,The query identifies customers who placed over $1000 in orders in the past year and are located in New York.,Success,,Success,,Success,,
Harsh,381406,1,Anonymous visitors who have browsed more than 2 pages and have spent more than 2 hours on pages related to auto warranty in the last 3 days,The information identifies customers who have recently viewed auto warranty content online and either lack key contact information or have been highly engaged with related content based on their event history. It does this by first finding customers who viewed auto warranty pages in the past 3 days and had over 120 events including more than 2 views of news blog or PDF content. It then intersects those customers with ones lacking names emails or phone numbers to produce the final list.,Success,,Success,,Not sure,Response is fine just a bit wordy,GlobalIQ
Harsh,293489,1,People who are mobile customers AND have clicked on Mobile+Home links excluding people who are home customers,The analysis identifies customers who use mobile excluding those who also use home services to understand mobile-only usage.,Fail,,Fail,,Fail,,GlobalIQ
Harsh,344494,1,People who are online lottery players have performed an activity in the last 1 month and have played online lottery for more than 10 sessions. And people who visited the store in the last 30 days are loyalty members and are frequent purchasers. Except for people whose income is over $200K,The audience looks at multiple user attributes like name email location company and subscriptions to identify engaged online customers for targeting. The logic filters users based on online activity loyalty status past purchases predicted engagement company affiliation and communication preferences to build a quality subscriber list.,Fail,,Fail,,Fail,,GlobalIQ
Harsh,368056,1,People who are current customers and are active in their companies. And have done an event for cloud management in the last 3 months. But have not been contacted in the last 7 days. And have not opened a ticket in the last 10 days.,The query is filtering a set of customer IDs based on certain criteria related to user activity event data and account status to identify active customers for a targeted campaign.,Fail,,Fail,,Fail,,GlobalIQ
Harsh,344615,1,People who have read more than 3 articles of type pdf news blog more than 14 days ago,Customers who visited the website and viewed PDFs news articles or blog posts more than 3 times in the past 14 days.,Success,,Success,,Success,,Haha I got this wrong when I did it manually and the AI got it right
Harsh,374032,1,People who have opened an email in the last 2 days. AND have viewed a Drama or Thriller trailer more than 5 times in the last 30 days. Excluding paid subscribers and people who have opted out of emails,This analyses audience activity over different time periods to identify subsets based on combinations of email engagement web browsing behaviors and account status. It examines email opens within the past 2 days web visits in the past 30 days where thriller or drama content was viewed over 5 times excludes those who opted out of emails or have paid accounts and identifies the unique audience ids across the resulting groups.,Success,,Success,,Not sure,,Got a bit wordy
Harsh,305290,2,People who have booked a meeting in the past 7 days,,Success,,Success,,Fail,,
Harsh,369448,2,People in NY who have spent more than $1000 within the last year,The summary discusses customers who placed orders in the past year where the net price was over $1000 intersecting with customers located in New York.,Success,,Success,,Not sure,Response is slightly technical,
Harsh,381406,2,Anonymous visitors who have browsed more than 2 pages and have spent more than 2 hours on pages related to auto warranty in the last 3 days,The summary discusses identifiers of an audience counting frequencies of specific actions by the audience summing numerical event details comparing email and names to empty values and intersecting results.,Fail,,Fail,,Fail,,
Harsh,293489,2,People who are mobile customers AND have clicked on Mobile+Home links excluding people who are home customers,The query identifies customers who only use mobile customers who use mobile and home and excludes customers who only use home. It finds the intersection of mobile-only customers and mobile+home customers then excludes home-only customers. The final result is customers using mobile but not home.,Not sure,,Success,,Success,Response is mixed business friendly and technical,General observation that sometimes the fields don't capture what they represent. Such as events does not represent that these are clicks. Maybe we need to add attribute names in the mix
Harsh,344494,2,People who are online lottery players have performed an activity in the last 1 month and have played online lottery for more than 10 sessions. And people who visited the store in the last 30 days are loyalty members and are frequent purchasers. Except for people whose income is over $200K,The summary discusses using various data sources to identify a subset of customers to target for marketing campaigns including analyzing past online lottery play membership status past purchases in-store model scores email preferences and company affiliations while excluding customers with specific combinations of attributes like country and email address.,Fail,,Fail,,Fail,,
Harsh,368056,2,People who are current customers and are active in their companies. And have done an event for cloud management in the last 3 months. But have not been contacted in the last 7 days. And have not opened a ticket in the last 10 days.,This query identifies active customers who have shown interest in cloud management in the past 3 months have opted into emails work for Active companies but excludes those who have opened a ticket or had activity in the past 7-10 days.,Success,,Success,,Success,,
Harsh,344615,2,People who have read more than 3 articles of type pdf news blog more than 14 days ago,This analysis identifies customers who have viewed at least 4 news blog or PDF content in the past 14 days. It selects customer IDs from the customer info table left joins clickstream data filters for events in the past 14 days groups by customer ID and counts how many news blog or PDF views each customer had. Customers with over 3 such events are returned.,Success,,Success,,Not sure,,Response is not technical so fine on that front. But it is not concise.
Harsh,374032,2,People who have read more than 3 articles of type pdf news blog more than 14 days ago,The query identifies audience members who opened marketing emails in the past 2 days viewed specific content in the past 30 days have not opted out of emails and are not paid members. It then excludes audience members who have been frequently tagged with Thriller or Drama content.,Fail,,Success,,Fail,,Bad response
Harsh,305290,3,People who have booked a meeting in the past 7 days,"The audience is interested in customers who booked a meeting in the past week. To identify these customers the audience joins the aiq_customers_base and events tables on aiq_id. The audience filters for events named ""meeting booked"" where the date is within the past 7 days. Then the audience groups the results by aiq_id to show the unique customers who meet the criteria.",Success,,Success,,Fail,,This response is consistenly technical. Look into why?
Harsh,381406,3,Anonymous visitors who have browsed more than 2 pages and have spent more than 2 hours on pages related to auto warranty in the last 3 days,The summary discusses customers who viewed auto warranty content engaged highly with news/blogs/PDFs and have incomplete profile information intersected with customers with blank profile fields to find users with interest in auto warranties but minimal provided personal information.,Fail,,Fail,,Fail,,
